symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600962,,0.0,0.0,0.4237,1.0,1.0,0.6096,0.4229,0.3,1.0,0.0,0.0,0.0,1.0,0.5266,False,False,True,26.21,9.99,23.54,True,6872.5,食品行业,,28.6
600963,,0.5559,0.9747,0.7135,0.0,0.0,0.5012,0.134,0.0,0.0,0.0,1.0,0.0,0.0,0.5436,False,False,False,3.6,3.15,4.33,False,6327.2,造纸行业,碳中和/长株潭,17.5
600965,,0.7523,1.0,0.602,0.0,0.0,0.7886,0.3059,0.3,0.0,0.0,0.0,0.0,0.0,0.6865,False,False,False,2.75,2.61,3.91,False,2251.4,农林牧渔,,29.0
600966,,0.6006,0.9901,0.7068,0.0,0.0,0.2149,0.1762,0.0,0.0,0.0,0.0,0.0,0.0,0.4396,False,False,False,5.39,3.06,6.21,False,7205.6,造纸行业,黄河三角,17.5
600967,,0.1757,0.9392,0.7009,0.0,0.0,0.2652,0.2403,0.6,0.0,0.0,1.0,0.0,0.0,0.5249,False,False,False,11.98,3.36,13.72,False,20387.5,交通运输,国防军工/军民融合/军工航天,30.7
600968,,0.2362,1.0,0.7557,0.1525,0.0,0.6702,0.1822,0.3,0.1386,0.0,1.0,0.0,0.0,0.283,False,False,False,3.89,1.83,4.13,False,39542.3,,碳中和/碳交易,
600969,,0.8751,1.0,0.4066,0.5351,0.0,0.5463,0.4136,0.6,0.0,0.0,0.0,0.0,1.0,0.6195,False,False,False,9.34,-2.2,10.6,False,3456.3,电力行业,氢能源/长株潭/污水处理,42.3
600970,,0.6112,1.0,0.8399,0.0,0.0,0.6647,0.2439,0.0,0.0,0.0,0.0,0.5,0.0,0.45,False,False,False,8.4,0.84,9.37,False,22023.2,建筑建材,低碳经济/融资融券/社保重仓,18.3
600971,,0.6342,1.0,0.6993,0.7912,0.9643,0.6297,0.3065,0.3,0.884,0.0,1.0,0.5,0.7,0.2658,True,False,False,7.94,2.32,7.7,True,9528.0,煤炭行业,融资融券/业绩预降/信托重仓,61.5
600973,,0.7729,1.0,0.4961,0.4088,0.0,0.1871,0.3248,0.6,0.0,0.0,1.0,0.0,1.0,0.504,False,False,False,6.39,0.63,7.11,False,8763.0,发电设备,大飞机/光伏/智能电网,34.0
600975,,0.6344,1.0,0.8191,0.035,0.0,0.5275,0.1645,0.6,0.0,0.0,0.0,0.0,0.0,0.3842,False,False,False,4.75,-0.84,5.26,False,5935.9,农林牧渔,长株潭/猪肉,29.0
600976,,0.664,1.0,0.8224,0.0,0.0,0.1316,0.1706,0.3,0.0,0.0,0.0,0.0,0.0,0.5095,False,False,False,26.45,0.69,30.43,False,4054.7,生物制药,武汉规划/婴童概念,29.4
600977,,0.3576,0.859,0.4872,0.4298,0.2123,0.3741,0.2738,0.0,0.2582,0.0,1.0,0.0,1.0,0.4949,False,False,False,13.77,3.85,14.37,False,25708.6,,,
600979,,0.4845,0.6316,0.5992,0.536,0.2853,0.5278,0.2535,0.0,0.286,0.0,0.0,0.5,1.0,0.5276,False,False,False,4.73,-5.21,4.95,False,5828.6,电力行业,成渝特区,42.3
600980,,0.0,0.9561,0.6103,0.1726,0.0,0.1531,0.3508,0.0,0.2365,0.0,0.0,0.0,0.0,0.4119,False,False,False,21.2,3.26,22.17,False,4012.4,电子器件,准ST股/整体上市,39.8
600981,,0.0,1.0,0.6882,0.0,0.1407,0.0,0.245,0.6,0.3977,0.0,0.0,0.5,0.0,0.3964,False,False,False,2.75,-1.08,2.79,False,6166.7,物资外贸,金融参股/参股金融,41.7
600982,,1.0,1.0,0.7002,0.9069,0.0,0.8655,0.3365,0.3,0.1123,0.0,0.0,0.0,0.7,0.4691,False,False,False,5.51,-0.9,6.03,False,6158.1,供水供气,光伏/业绩预降/信托重仓,22.8
600983,,0.0,1.0,0.8687,0.0,0.0,0.3006,0.367,0.3,0.0,0.0,0.0,0.0,0.0,0.2482,False,False,False,8.7,0.81,9.36,False,66.7,家电行业,垃圾分类/皖江区域,34.8
600984,,0.0892,1.0,0.6933,0.6518,0.0,0.6218,0.5425,0.9,0.2586,0.0,0.0,0.0,1.0,0.3499,False,False,False,4.21,1.94,4.44,False,5292.2,机械行业,陕甘宁,19.0
600985,,0.0,1.0,0.6752,1.0,1.0,0.4489,0.7625,0.9,1.0,0.0,1.0,1.0,0.7,0.2352,False,False,False,16.62,1.22,14.54,True,44762.0,化工行业,皖江区域,38.8
600986,,0.7042,1.0,0.8006,0.0,0.0,0.9104,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.6686,False,False,False,7.77,1.04,9.5,False,11556.9,建筑建材,黄河三角,18.3
600987,,0.0379,1.0,0.8119,0.0592,0.0,0.5814,0.1004,0.0,0.0705,0.0,1.0,0.0,0.0,0.3349,False,False,False,6.46,1.25,6.91,False,6594.5,纺织行业,融资融券/涉矿概念/页岩气,24.1
600988,,0.1547,0.2556,0.4999,0.0,0.0,0.0,0.2184,0.6,0.0,0.0,1.0,0.0,0.0,0.6156,False,False,False,30.37,7.47,36.12,False,50533.0,,黄金概念/业绩预升,
600989,,0.2691,1.0,0.6661,0.0699,0.0,0.4719,0.2126,0.0,0.0,0.0,1.0,0.0,0.0,0.3908,False,False,False,23.1,0.61,25.74,False,169400.6,,碳中和,
600990,,0.0,0.8113,0.6511,0.0,0.0,0.1775,0.2071,0.3,0.0,0.0,0.0,0.0,0.0,0.5478,False,False,False,18.9,4.13,21.63,False,5084.3,电子信息,大飞机/国防军工/物联网,14.0
600992,,1.0,1.0,0.7602,0.2558,0.0,0.7666,0.2775,0.3,0.0,0.0,0.0,0.0,0.0,0.5669,False,False,False,10.03,0.2,12.23,False,2458.3,钢铁行业,,29.9
600993,,0.1643,1.0,0.8085,0.1503,0.0,0.4559,0.1671,0.3,0.228,0.0,1.0,0.0,0.0,0.2462,False,False,False,23.83,2.19,24.83,False,10254.2,生物制药,武汉规划/生物疫苗/基因概念,29.4
600995,,1.0,1.0,0.7668,0.5955,0.0,0.7034,0.4026,0.3,0.13,0.0,1.0,0.5,1.0,0.466,False,False,False,13.4,1.9,14.52,False,42826.5,电力行业,,42.3
600996,,0.131,1.0,0.6667,0.4325,0.5017,0.5427,0.1973,0.3,0.3579,0.0,0.0,0.0,0.0,0.4083,False,False,False,8.86,0.68,9.08,False,11046.6,,,
600998,,0.5014,1.0,0.845,0.2217,0.0,0.3971,0.1842,0.0,0.2707,0.0,0.0,0.5,0.0,0.3104,False,False,False,4.79,1.27,4.99,False,24153.4,商业百货,武汉规划/民营医院/民营银行,16.6
600999,,0.0,1.0,0.7525,0.7263,1.0,0.0,0.5262,0.3,0.9786,0.0,0.0,0.5,1.0,0.442,False,False,False,17.69,2.61,16.69,True,131295.3,金融行业,含H股/融资融券/前海概念,45.1
601000,,0.2294,1.0,0.8254,0.3699,0.0,0.3911,0.2651,0.0,0.2613,0.0,0.0,0.0,0.0,0.3901,False,False,False,4.23,0.71,4.45,False,25066.7,交通运输,雄安新区/京津冀/自贸区,30.7
601001,,0.429,1.0,0.5326,1.0,1.0,0.3459,0.3988,0.3,1.0,0.0,1.0,0.5,0.7,0.2266,False,False,False,20.81,1.31,18.48,True,34829.7,煤炭行业,稀缺资源/融资融券,61.5
601002,,0.6277,1.0,0.8337,0.111,0.0,0.9271,0.067,0.0,0.0,0.0,1.0,0.0,0.0,0.4748,False,False,False,4.85,0.83,5.36,False,4629.0,机械行业,融资融券,19.0
601003,,0.3696,1.0,0.6808,0.0,0.0,0.3823,0.2018,0.3,0.0,0.0,1.0,0.0,0.0,0.5811,False,False,False,3.65,2.82,4.23,False,9354.2,钢铁行业,,29.9
601005,,0.3852,1.0,0.7832,0.0728,0.0,0.2538,0.1263,0.3,0.0,0.0,1.0,0.0,0.0,0.4036,False,False,False,1.25,1.63,1.36,False,10392.0,钢铁行业,成渝特区/低碳经济/含H股,29.9
